FM164277.1|Triticum	chr7AS_4243041_2053_10802_3954418+,4165093+,4136236-	99.30	142	1	0	121	262	1802	1661	9e-66	  257
FM164277.1|Triticum	chr7AS_4243041_2053_10802_3954418+,4165093+,4136236-	94.89	137	7	0	260	396	1097	961	5e-53	  215
FM164277.1|Triticum	chr7BS_3067258_4840_91768_99392+,2481216+	97.89	142	3	0	121	262	525	666	2e-62	  246
FM164277.1|Triticum	chr7BS_3067258_4840_91768_99392+,2481216+	96.35	137	5	0	260	396	1299	1435	3e-56	  226
FM164277.1|Triticum	chr7DS_3805745_2159_18227_101551+,458508-	96.48	142	5	0	121	262	521	662	4e-59	  235
FM164277.1|Triticum	chr7DS_3805745_2159_18227_101551+,458508-	95.62	137	6	0	260	396	1293	1429	1e-54	  220
FM164277.1|Triticum	chr3B_10693863_7926_194211_8558338+,...,4972487+	85.83	120	15	2	1	119	6499	6381	3e-26	  126
FM164277.1|Triticum	chr3AL_4240071_1108_7395_676792+,2071819-	76.39	144	32	2	120	262	137	279	3e-11	76.8
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	99.62	529	2	0	181	709	1	529	0.0	  966
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	99.38	320	2	0	1509	1828	3371	3690	2e-162	  580
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	98.32	179	1	2	1115	1293	2036	2212	9e-82	  313
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	99.36	156	1	0	845	1000	1365	1520	7e-73	  283
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	99.33	149	0	1	699	847	1138	1285	2e-68	  268
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	100.00	129	0	0	1284	1412	2542	2670	2e-59	  239
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	100.00	116	0	0	1001	1116	1832	1947	3e-52	  215
AJ621356.1|Triticum	chr3B_10508634_4255_87203_3282735+,...,2321919+	100.00	102	0	0	1412	1513	2755	2856	2e-44	  189
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	92.94	340	4	1	1509	1828	540	201	3e-131	  477
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	98.32	179	1	2	1115	1293	1729	1553	9e-82	  313
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	99.36	156	1	0	845	1000	2399	2244	7e-73	  283
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	98.66	149	1	1	699	847	2622	2475	9e-67	  263
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	100.00	129	0	0	1284	1412	1214	1086	2e-59	  239
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	100.00	116	0	0	1001	1116	1932	1817	3e-52	  215
AJ621356.1|Triticum	chr3DL_3329836_3240_40389	100.00	102	0	0	1412	1513	1001	900	2e-44	  189
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	92.55	322	7	3	1509	1828	2900	3206	9e-122	  446
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	98.88	179	0	2	1115	1293	1656	1832	2e-83	  318
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	98.72	156	2	0	845	1000	976	1131	3e-71	  278
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	98.66	149	1	1	699	847	753	900	9e-67	  263
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	100.00	129	0	0	1284	1412	2166	2294	2e-59	  239
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	97.66	128	3	0	582	709	1	128	6e-54	  220
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	97.56	123	2	1	994	1116	1447	1568	1e-50	  209
AJ621356.1|Triticum	chr3AL_3051895_3834_35899	99.02	102	1	0	1412	1513	2378	2479	7e-43	  183
AJ621356.1|Triticum	chr1DL_2232323_12664_230147_325290+,...,1648983-	87.13	171	22	0	1115	1285	11748	11578	3e-46	  195
AJ621356.1|Triticum	chr1DL_2232323_12664_230147_325290+,...,1648983-	91.47	129	11	0	1284	1412	11257	11129	3e-41	  178
AJ621356.1|Triticum	chr1BL_2778755_4739_53516	90.70	129	12	0	1284	1412	4163	4035	2e-39	  172
AJ621356.1|Triticum	chr1AL_2936299_7253_287889	90.70	129	12	0	1284	1412	6101	5973	2e-39	  172
AJ621356.1|Triticum	chr1DL_105239_1544_13469	84.87	119	15	1	962	1077	1509	1391	8e-23	  117
AJ621356.1|Triticum	chr6DL_2085444_521_3673	82.40	125	19	1	953	1074	206	330	2e-19	  106
AJ621356.1|Triticum	chr2AL_6409014_7455_90715_4985275+,...,6284092-	92.96	71	4	1	1010	1079	4444	4514	2e-18	  102
